Bureau of Justice Statistics,,
Filename: p23stf02.csv,,
"Figure 2. Percent change in the number of persons under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2022–2023",,
Report title: Prisoners in 2023 – Statistical Tables   NCJ 310197,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2022–2023",,
"Authors: Derek Mueller, PhD, and Rich Kluckow, DSW, BJS Statisticians",,
Refer questions to: askbjs@usdoj.gov,,
Date of version: 9/30/25,,
,,
"Figure 2. Percent change in the number of persons under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2022–2023",,
Jurisdiction,Percent change in prison population,
New Jersey,-7.8,%
Alaska/a,-6.3,
Hawaii/a,-5,
Kentucky,-2.9,
Oklahoma,-2.9,
Vermont/a,-1.9,
Delaware/a,-1.8,
FBOP,-1.7,
California,-1.7,
Oregon,-1.6,
Mississippi,-1.4,
West Virginia,-1.2,
Indiana,-0.8,
Massachusetts/b,--,
Illinois,0.7,
South Carolina,0.8,
Minnesota,1,
Virginia,1,
Missouri,1.3,
New Hampshire,1.4,
Nevada,1.5,
Colorado,1.7,
Arizona,1.8,
Michigan,1.9,
Pennsylvania,2.5,
Ohio,2.7,
Wyoming,2.7,
Tennessee,2.8,
Alabama,2.9,
Florida,3,
Louisiana,3.3,
North Carolina,3.6,
Maryland,3.8,
Georgia,4.1,
Iowa,4.2,
North Dakota,4.5,
New York,4.6,
Kansas,4.8,
Washington,4.9,
Arkansas,5,
Nebraska,5,
Rhode Island/a,5.3,
Connecticut/a,5.6,
Montana,6.3,
Utah,6.5,
Texas,6.9,
Wisconsin,7.4,
Idaho,7.9,
South Dakota,9.3,
Maine,11.8,
New Mexico,12.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website (https://bjs.ojp.gov/library/publications/prisoners-2023-statistical-tables). Estimates show the percent change in the total number of prisoners with any sentence status on December 31, 2022 and December 31, 2023. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons (FBOP). See table 2 for counts.",,
a/Prisons and jails form one integrated system. Data include total jail and prison populations.,,
b/Less than 0.05%. ,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2022–2023.",,
