Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
Filename: p23stt02.csv,,,,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2022 and 2023",,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2023 – Statistical Tables   NCJ 310197,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2022 and 2023",,,,,,,,,,,,,,,,,,,
"Authors: Derek Mueller, PhD, and Rich Kluckow, DSW, BJS Statisticians",,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov,,,,,,,,,,,,,,,,,,,
Date of version: 9/30/25,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2022 and 2023",,,,,,,,,,,,,,,,,,,
,,2022,,,,2023,,,,"Change, 2022–2023",,,,"Percent change, 2022–2023",,,,,
Jurisdiction,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female,
,U.S. total,"1,230,143","1,142,359","87,784",,"1,254,224","1,163,080","91,144",,"24,081","20,721","3,360",,2,%,1.8,%,3.8,%
Federal/a,,"159,309","148,182","11,127",,"156,627","146,021","10,606",,"-2,682","-2,161",-521,,-1.7,%,-1.5,%,-4.7,%
State,,"1,070,834","994,177","76,657",,"1,097,597","1,017,059","80,538",,"26,763","22,882","3,881",,2.5,%,2.3,%,5.1,%
,Alabama,"26,421","24,053","2,368",,"27,181","24,682","2,499",,760,629,131,,2.9,,2.6,,5.5,
,Alaska/b,"4,778","4,322",456,,"4,478","4,058",420,,-300,-264,-36,,-6.3,,-6.1,,-7.9,
,Arizona,"33,865","30,748","3,117",,"34,473","31,307","3,166",,608,559,49,,1.8,,1.8,,1.6,
,Arkansas,"17,625","16,216","1,409",,"18,503","16,935","1,568",,878,719,159,,5,,4.4,,11.3,
,California,"97,608","93,876","3,732",,"95,962","92,146","3,816",,"-1,646","-1,730",84,,-1.7,,-1.8,,2.3,
,Colorado,"17,168","15,766","1,402",,"17,459","16,030","1,429",,291,264,27,,1.7,,1.7,,1.9,
,Connecticut/b,"10,506","9,719",787,,"11,099","10,202",897,,593,483,110,,5.6,,5,,14,
,Delaware/b,"4,954","4,641",313,,"4,867","4,544",323,,-87,-97,10,,-1.8,,-2.1,,3.2,
,Florida,"84,678","79,154","5,524",,"87,207","81,326","5,881",,"2,529","2,172",357,,3,,2.7,,6.5,
,Georgia,"48,439","45,121","3,318",,"50,425","46,760","3,665",,"1,986","1,639",347,,4.1,,3.6,,10.5,
,Hawaii/b,"4,149","3,711",438,,"3,942","3,533",409,,-207,-178,-29,,-5,,-4.8,,-6.6,
,Idaho,"9,110","7,814","1,296",,"9,829","8,311","1,518",,719,497,222,,7.9,,6.4,,17.1,
,Illinois,"29,634","28,163","1,471",,"29,828","28,295","1,533",,194,132,62,,0.7,,0.5,,4.2,
,Indiana,"25,286","22,756","2,530",,"25,088","22,528","2,560",,-198,-228,30,,-0.8,,-1,,1.2,
,Iowa,"8,473","7,755",718,,"8,831","8,112",719,,358,357,1,,4.2,,4.6,,0.1,
,Kansas,"8,709","7,974",735,,"9,125","8,333",792,,416,359,57,,4.8,,4.5,,7.8,
,Kentucky,"19,744","17,461","2,283",,"19,175","16,973","2,202",,-569,-488,-81,,-2.9,,-2.8,,-3.5,
,Louisiana,"27,296","25,860","1,436",,"28,186","26,618","1,568",,890,758,132,,3.3,,2.9,,9.2,
,Maine,"1,675","1,521",154,,"1,873","1,676",197,,198,155,43,,11.8,,10.2,,27.9,
,Maryland/c,"15,637","15,086",551,,"16,236","15,607",629,,599,521,78,,3.8,,3.5,,14.2,
,Massachusetts,"6,001","5,777",224,,"6,002","5,830",172,,1,53,-52,,--,,0.9,,-23.2,
,Michigan,"32,374","30,708","1,666",,"32,986","31,285","1,701",,612,577,35,,1.9,,1.9,,2.1,
,Minnesota,"8,636","8,075",561,,"8,725","8,134",591,,89,59,30,,1,,0.7,,5.3,
,Mississippi,"19,802","18,208","1,594",,"19,526","17,998","1,528",,-276,-210,-66,,-1.4,,-1.2,,-4.1,
,Missouri/d,"23,911","21,724","2,187",,"24,223","22,094","2,129",,312,370,-58,,1.3,,1.7,,-2.7,
,Montana,"4,691","4,026",665,,"4,985","4,238",747,,294,212,82,,6.3,,5.3,,12.3,
,Nebraska,"5,649","5,272",377,,"5,931","5,521",410,,282,249,33,,5,,4.7,,8.8,
,Nevada,"10,304","9,456",848,,"10,463","9,593",870,,159,137,22,,1.5,,1.4,,2.6,
